year,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40
1954,0.19413216,0.19413216,0.19413216,0.19413216,0.23582511,0.18422415,0.13469531
1955,0.28798989,0.34349187,0.36780270,0.49161103,0.34953179,0.27067949,0.19617201
1956,0.05880807,0.06746859,0.07115125,0.09001999,0.06312078,0.04783339,0.03260005
1957,-0.07618146,-0.07672389,-0.07699942,-0.07858403,-0.09658892,-0.06606422,-0.03475060
1958,0.30978161,0.33748885,0.34948816,0.40998928,0.37779324,0.28927476,0.20625523
1959,0.11261476,0.11453352,0.11534863,0.11868106,0.13915393,0.10668798,0.07502751
1960,0.02029529,0.02029529,0.02029529,0.02029529,-0.00434892,0.01709919,0.03887776
1961,0.24584181,0.29906321,0.32241151,0.44236701,0.30095024,0.24027287,0.18230001
1962,-0.08302112,-0.06694240,-0.06004041,-0.02128907,-0.09720914,-0.06791693,-0.03793942
1963,0.19906547,0.24709928,0.26816513,0.37853457,0.22189219,0.17833607,0.13625116
1964,0.15210971,0.23960566,0.27894566,0.49573202,0.16576515,0.13949160,0.11376543
1965,0.11291635,0.15058039,0.16702246,0.24679644,0.12542336,0.10177655,0.07855792
1966,-0.07001767,-0.07202902,-0.07292355,-0.08279295,-0.08333849,-0.05766582,-0.03149497
1967,0.15187627,0.22559212,0.25848872,0.41838144,0.20939603,0.15887706,0.11035418
1968,0.11078915,0.10747471,0.10605454,0.10070423,0.15201454,0.12484102,0.09809742
1969,-0.10829504,-0.10543328,-0.10420939,-0.10420939,-0.11670508,-0.10352241,-0.09030610
1970,0.13214139,0.13214139,0.13214139,0.13214139,0.02687231,0.05654170,0.08654879
1971,0.12210041,0.12210041,0.12210041,0.12210041,0.13653048,0.13198471,0.12714655
1972,0.14033942,0.21780400,0.25231509,0.37102406,0.21878134,0.17765507,0.13780333
1973,-0.13771866,-0.13771866,-0.13771866,-0.13771866,-0.16858418,-0.13135874,-0.09263794
1974,-0.13033166,-0.13464819,-0.13650022,-0.13650022,-0.26095442,-0.20761548,-0.15085941
1975,0.11367055,0.12174312,0.12521283,0.12521283,0.38042799,0.30899694,0.24073064
1976,0.19335478,0.19335478,0.19335478,0.19335478,0.22519213,0.21082877,0.19641775
1977,-0.05974612,-0.05621113,-0.05469328,-0.05469328,-0.06305244,-0.04959264,-0.03602220
1978,0.06548132,0.07342896,0.07684695,0.07684695,0.07820935,0.05979806,0.04150687
1979,0.13386889,0.13528306,0.13588838,0.13588838,0.18159970,0.14410382,0.10752562
1980,0.08074518,0.07992314,0.07957027,0.07957027,0.30228952,0.23177066,0.16300629
1981,0.04565715,0.04971975,0.05146259,0.05146259,-0.02499223,-0.01778761,-0.01183498
1982,0.32895263,0.34292292,0.34891621,0.34891621,0.19204592,0.24284038,0.29432479
1983,0.09525530,0.19529831,0.24034077,0.29963713,0.23170662,0.18348517,0.13659508
1984,0.11854618,0.11005728,0.10641013,0.09339717,0.04721855,0.06899649,0.09067775
1985,0.38321920,0.45752176,0.48912856,0.93414437,0.31357704,0.31512673,0.31608174
1986,0.30012527,0.33619711,0.35163470,0.40466680,0.24119236,0.23942132,0.23727200
1987,-0.02000551,0.14001147,0.21556019,0.53940595,-0.00105047,-0.00770716,-0.01547975
1988,0.19061838,0.21972297,0.23228681,0.30695110,0.18795833,0.16317627,0.13866868
1989,0.31396055,0.31396055,0.31396055,0.31396055,0.30210802,0.27779288,0.25369216
1990,-0.00081474,0.00004496,0.00041301,0.00041301,-0.02350025,-0.00486517,0.01387686
1991,0.26378491,0.26127861,0.26019604,0.26019604,0.22069447,0.21394390,0.20697378
1992,0.10709008,0.12291777,0.12973458,0.16545276,0.15505602,0.14021336,0.12531215
1993,0.13121742,0.12748711,0.12465729,0.14309428,0.08864912,0.09650179,0.10410825
1994,-0.01745750,-0.01831267,-0.01875927,-0.03295772,0.00397320,-0.01048167,-0.02507238
1995,0.36936049,0.41702159,0.43761666,0.56431137,0.38048958,0.35332212,0.32645873
1996,0.23041319,0.38438268,0.45338817,0.83069879,0.25867040,0.20590556,0.15477040
1997,0.24060367,0.35385501,0.40060444,0.62266053,0.25510502,0.22587228,0.19626258
1998,0.27468156,0.31399798,0.32545556,0.33615940,0.32520129,0.28577345,0.24521637
1999,0.17249772,0.44129869,0.56833025,1.01097842,0.21002622,0.15484313,0.10069655
2000,-0.04823664,-0.02447258,-0.01652756,-0.05979456,-0.09741471,-0.04651789,0.00518276
2001,-0.02407756,-0.02407756,-0.02407756,-0.02407756,-0.10446148,-0.07148972,-0.03982733
2002,0.11020365,0.12245369,0.12773086,0.12773086,-0.23478127,-0.16616426,-0.09371527
2003,0.04135677,0.08406439,0.10203374,0.18565085,0.27590716,0.22211064,0.16882411
2004,0.07624350,0.09120511,0.09580745,0.05812171,0.12292296,0.10700140,0.09048412
2005,0.01751126,0.02180388,0.02364339,0.02364339,0.04828211,0.04599488,0.04317438
2006,0.15907983,0.17343948,0.17930792,0.23433496,0.15845296,0.13141947,0.10452636
2007,0.06681861,0.07100483,0.07279893,0.06467209,0.05930146,0.06809344,0.07567476
2008,0.03474884,0.01388962,0.00499419,0.00499419,-0.39404024,-0.29835721,-0.19276640
2009,0.17985896,0.34093773,0.41328160,0.80373406,0.32037478,0.23648929,0.15362965
2010,0.14430664,0.08535554,0.05932464,-0.08966212,0.13992347,0.12963467,0.11740570
2011,0.04376760,0.05903977,0.06493861,0.09076429,0.01894977,0.04671738,0.07209196
2012,0.11946205,0.16600668,0.18477083,0.26668859,0.14051911,0.11939994,0.09755367
2013,0.32496090,0.47352324,0.54114977,0.95971871,0.33944490,0.24765933,0.16148650
2014,0.18714443,0.30384099,0.35533843,0.65393052,0.15590378,0.14239945,0.12818148
2015,0.03884013,0.06436695,0.07449464,0.12089599,0.00712122,0.01180481,0.01540568
2016,0.04092076,0.04767703,0.05002665,0.04281040,0.11012294,0.08974630,0.06883867
2017,0.27056815,0.43250924,0.50671618,1.01256087,0.21705448,0.17682408,0.13766260
2018,-0.03026136,-0.04152068,-0.04911463,-0.12258644,-0.05397616,-0.03931458,-0.02595412
2019,0.28594217,0.32076272,0.33419215,0.42199598,0.32784491,0.27668794,0.22649525
2020,0.15349657,0.14997248,0.14846216,0.14510055,0.16425427,0.15660430,0.14365094
2021,0.16931653,0.16931653,0.16931653,0.16931653,0.30431174,0.23204764,0.16293386
2022,-0.10175493,-0.10175493,-0.10175493,-0.10175493,-0.18175368,-0.16835019,-0.15642029
2023,0.16606255,0.15625240,0.15205248,0.15205248,0.26175797,0.21501711,0.16918797
2024,0.17875387,0.15416551,0.14322014,0.06222027,0.26789348,0.20780307,0.14979224
2025,0.08569353,0.05954114,0.04800934,-0.00060914,0.17378922,0.15767204,0.13994142
2026,0.02901112,0.02901112,0.02901112,0.02901112,0.08247024,0.06482467,0.04708841
