name,base_weight,medium_weight,aggressive_weight,cagr,max_drawdown,volatility,sharpe_0rf,final_wealth,return_to_dd
0% / 0% / 100%,0.00000000,0.00000000,1.00000000,0.18005887,-0.27502205,0.08526885,2.11166070,421.89307353,0.65470703
0% / 10% / 90%,0.00000000,0.10000000,0.90000000,0.17556349,-0.27502205,0.08315959,2.11116354,367.01513606,0.63836149
0% / 20% / 80%,0.00000000,0.20000000,0.80000000,0.17107560,-0.27502205,0.08109870,2.10947415,319.17967707,0.62204323
0% / 30% / 70%,0.00000000,0.30000000,0.70000000,0.16659524,-0.27502205,0.07908996,2.10640202,277.49544807,0.60575231
0% / 40% / 60%,0.00000000,0.40000000,0.60000000,0.16212243,-0.27502205,0.07713744,2.10173461,241.18237739,0.58948883
0% / 50% / 50%,0.00000000,0.50000000,0.50000000,0.15765718,-0.27502205,0.07524552,2.09523663,209.55790707,0.57325287
0% / 60% / 40%,0.00000000,0.60000000,0.40000000,0.15319952,-0.27502205,0.07341890,2.08664978,182.02498309,0.55704451
0% / 70% / 30%,0.00000000,0.70000000,0.30000000,0.14874948,-0.27502205,0.07166255,2.07569349,158.06150206,0.54086383
0% / 80% / 20%,0.00000000,0.80000000,0.20000000,0.14430707,-0.27502205,0.06998177,2.06206673,137.21104054,0.52471091
0% / 90% / 10%,0.00000000,0.90000000,0.10000000,0.13987232,-0.27502205,0.06838213,2.04545138,119.07471361,0.50858583
0% / 100% / 0%,0.00000000,1.00000000,0.00000000,0.13544524,-0.27502205,0.06686946,2.02551734,103.30402733,0.49248867
10% / 0% / 90%,0.10000000,0.00000000,0.90000000,0.17214855,-0.27450362,0.08169939,2.10709711,330.03201937,0.62712671
10% / 10% / 80%,0.10000000,0.10000000,0.80000000,0.16766695,-0.27450362,0.07967477,2.10439195,286.95615942,0.61080049
10% / 20% / 70%,0.10000000,0.20000000,0.70000000,0.16319288,-0.27450362,0.07770514,2.10015553,249.42740304,0.59450173
10% / 30% / 60%,0.10000000,0.30000000,0.60000000,0.15872637,-0.27450362,0.07579478,2.09415953,216.74127081,0.57823050
10% / 40% / 50%,0.10000000,0.40000000,0.50000000,0.15426743,-0.27450362,0.07394829,2.08615270,188.28147730,0.56198688
10% / 50% / 40%,0.10000000,0.50000000,0.40000000,0.14981610,-0.27450362,0.07217058,2.07586123,163.50905288,0.54577096
10% / 60% / 30%,0.10000000,0.60000000,0.30000000,0.14537240,-0.27450362,0.07046684,2.06299025,141.95278667,0.52958281
10% / 70% / 20%,0.10000000,0.70000000,0.20000000,0.14093634,-0.27450362,0.06884257,2.04722669,123.20083289,0.51342252
10% / 80% / 10%,0.10000000,0.80000000,0.10000000,0.13650795,-0.27450362,0.06730352,2.02824386,106.89334119,0.49729017
10% / 90% / 0%,0.10000000,0.90000000,0.00000000,0.13208725,-0.27450362,0.06585567,2.00570807,92.71598791,0.48118583
20% / 0% / 80%,0.20000000,0.00000000,0.80000000,0.16426064,-0.27398531,0.07830968,2.09757770,257.92454028,0.59952352
20% / 10% / 70%,0.20000000,0.10000000,0.70000000,0.15979287,-0.27398531,0.07638208,2.09202044,224.14499369,0.58321693
20% / 20% / 60%,0.20000000,0.20000000,0.60000000,0.15533268,-0.27398531,0.07451697,2.08452747,194.73051720,0.56693797
20% / 30% / 50%,0.20000000,0.30000000,0.50000000,0.15088007,-0.27398531,0.07271917,2.07483227,169.12479391,0.55068673
20% / 40% / 40%,0.20000000,0.40000000,0.40000000,0.14643509,-0.27398531,0.07099378,2.06264684,146.84140228,0.53446328
20% / 50% / 30%,0.20000000,0.50000000,0.30000000,0.14199774,-0.27398531,0.06934620,2.04766416,127.45516341,0.51826770
