date,0% / 0% / 100%,0% / 10% / 90%,0% / 20% / 80%,0% / 30% / 70%,0% / 40% / 60%,0% / 50% / 50%,0% / 60% / 40%,0% / 70% / 30%,0% / 80% / 20%,0% / 90% / 10%,0% / 100% / 0%,10% / 0% / 90%,10% / 10% / 80%,10% / 20% / 70%,10% / 30% / 60%,10% / 40% / 50%,10% / 50% / 40%,10% / 60% / 30%,10% / 70% / 20%,10% / 80% / 10%,10% / 90% / 0%,20% / 0% / 80%,20% / 10% / 70%,20% / 20% / 60%,20% / 30% / 50%,20% / 40% / 40%,20% / 50% / 30%,20% / 60% / 20%,20% / 70% / 10%,20% / 80% / 0%,30% / 0% / 70%,30% / 10% / 60%,30% / 20% / 50%,30% / 30% / 40%,30% / 40% / 30%,30% / 50% / 20%,30% / 60% / 10%,30% / 70% / 0%,40% / 0% / 60%,40% / 10% / 50%,40% / 20% / 40%,40% / 30% / 30%,40% / 40% / 20%,40% / 50% / 10%,40% / 60% / 0%,50% / 0% / 50%,50% / 10% / 40%,50% / 20% / 30%,50% / 30% / 20%,50% / 40% / 10%,50% / 50% / 0%,60% / 0% / 40%,60% / 10% / 30%,60% / 20% / 20%,60% / 30% / 10%,60% / 40% / 0%,70% / 0% / 30%,70% / 10% / 20%,70% / 20% / 10%,70% / 30% / 0%,80% / 0% / 20%,80% / 10% / 10%,80% / 20% / 0%,90% / 0% / 10%,90% / 10% / 0%,100% / 0% / 0%
1954-07-02,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854
1954-07-09,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854
1954-07-16,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854
1954-07-23,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854
1954-07-30,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854,0.00732854
1954-08-06,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327,0.00497327
1954-08-13,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674
1954-08-20,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674
1954-08-27,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674
1954-09-03,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301,0.00569301
