portfolio,label,start,recovered,weeks,years,trough_date,max_drawdown,recovered_flag
strategy,Strategia,1955-03-04,1955-04-01,4,0.07666140,1955-03-25,-0.00345446,True
strategy,Strategia,1955-05-06,1955-06-03,4,0.07666140,1955-05-27,-0.00046658,True
strategy,Strategia,1955-08-05,1955-09-02,4,0.07666140,1955-08-26,-0.00222577,True
strategy,Strategia,1955-10-07,1955-11-18,6,0.11499209,1955-10-28,-0.03920525,True
strategy,Strategia,1956-01-06,1956-03-02,8,0.15332279,1956-01-27,-0.01957169,True
strategy,Strategia,1956-05-04,1956-07-20,11,0.21081884,1956-06-29,-0.02610091,True
strategy,Strategia,1956-08-03,1957-06-07,44,0.84327536,1957-02-22,-0.07175124,True
strategy,Strategia,1957-08-02,1958-08-01,52,0.99659815,1957-11-29,-0.13059781,True
strategy,Strategia,1959-02-06,1959-03-13,5,0.09582675,1959-02-27,-0.01023129,True
strategy,Strategia,1959-06-05,1959-07-03,4,0.07666140,1959-06-26,-0.00512462,True
strategy,Strategia,1959-08-07,1960-06-24,46,0.88160606,1960-03-25,-0.04193017,True
strategy,Strategia,1960-07-08,1960-08-26,7,0.13415744,1960-07-29,-0.01421620,True
strategy,Strategia,1960-09-02,1960-12-09,14,0.26831489,1960-10-28,-0.03712048,True
strategy,Strategia,1961-06-02,1961-08-11,10,0.19165349,1961-07-07,-0.01259570,True
strategy,Strategia,1961-09-08,1961-10-06,4,0.07666140,1961-09-29,-0.00316702,True
strategy,Strategia,1962-01-05,1963-04-26,68,1.30324374,1962-06-29,-0.19150406,True
strategy,Strategia,1963-07-05,1963-08-09,5,0.09582675,1963-07-26,-0.01065086,True
strategy,Strategia,1963-11-01,1963-12-06,5,0.09582675,1963-11-29,-0.00205107,True
strategy,Strategia,1964-06-05,1964-07-03,4,0.07666140,1964-06-26,-0.00252692,True
strategy,Strategia,1964-08-07,1964-09-18,6,0.11499209,1964-08-28,-0.01088418,True
strategy,Strategia,1964-12-04,1965-01-15,6,0.11499209,1964-12-25,-0.01310044,True
strategy,Strategia,1965-06-04,1965-09-17,15,0.28748024,1965-06-25,-0.03999995,True
strategy,Strategia,1965-12-03,1966-01-07,5,0.09582675,1965-12-31,-0.00306076,True
strategy,Strategia,1966-02-04,1967-04-07,61,1.16908629,1966-10-28,-0.13799355,True
strategy,Strategia,1967-06-02,1967-07-28,8,0.15332279,1967-06-30,-0.01503363,True
strategy,Strategia,1967-10-06,1968-04-26,29,0.55579512,1968-03-29,-0.05347351,True
strategy,Strategia,1968-08-02,1968-09-20,7,0.13415744,1968-08-30,-0.01537948,True
strategy,Strategia,1968-12-20,1970-12-04,102,1.95486560,1970-06-12,-0.17433419,True
strategy,Strategia,1970-12-11,1970-12-18,1,0.01916535,1970-12-11,-0.00086266,True
strategy,Strategia,1970-12-25,1971-01-01,1,0.01916535,1970-12-25,-0.00860853,True
strategy,Strategia,1971-01-08,1971-01-15,1,0.01916535,1971-01-08,-0.00541054,True
strategy,Strategia,1971-04-02,1971-04-09,1,0.01916535,1971-04-02,-0.00168658,True
strategy,Strategia,1971-04-16,1972-02-04,42,0.80494466,1971-11-26,-0.05925780,True
strategy,Strategia,1972-04-07,1972-04-21,2,0.03833070,1972-04-14,-0.00177145,True
strategy,Strategia,1972-05-05,1972-05-26,3,0.05749605,1972-05-12,-0.00197697,True
strategy,Strategia,1972-06-02,1972-06-16,2,0.03833070,1972-06-02,-0.00054721,True
strategy,Strategia,1972-06-30,1972-07-14,2,0.03833070,1972-07-07,-0.00064749,True
strategy,Strategia,1972-07-21,1972-08-04,2,0.03833070,1972-07-28,-0.00199422,True
strategy,Strategia,1972-09-01,1972-11-03,9,0.17248814,1972-09-22,-0.01791681,True
strategy,Strategia,1973-02-02,1978-08-11,288,5.51962053,1974-09-27,-0.26984304,True
strategy,Strategia,1978-09-22,1979-04-20,30,0.57496047,1978-11-24,-0.06563950,True
strategy,Strategia,1979-05-04,1979-06-15,6,0.11499209,1979-05-25,-0.01314300,True
strategy,Strategia,1979-10-05,1980-01-04,13,0.24914954,1979-11-02,-0.03963575,True
strategy,Strategia,1980-02-08,1980-06-06,17,0.32581093,1980-04-25,-0.04296642,True
strategy,Strategia,1980-06-27,1980-07-04,1,0.01916535,1980-06-27,-0.00008214,True
strategy,Strategia,1980-07-11,1980-07-18,1,0.01916535,1980-07-11,-0.00651803,True
strategy,Strategia,1980-07-25,1980-11-28,18,0.34497628,1980-08-29,-0.03941288,True
strategy,Strategia,1980-12-05,1980-12-19,2,0.03833070,1980-12-12,-0.00942710,True
strategy,Strategia,1981-02-06,1981-03-13,5,0.09582675,1981-02-27,-0.02819872,True
strategy,Strategia,1981-03-27,1981-06-12,11,0.21081884,1981-05-08,-0.02298269,True
